,Unnamed: 0,数据名称,数据类型,数据标签,数据大小,数据格式,时间范围,数据规格,价格,评价,浏览量,店铺
26,26,名片识别,,智能风控 ,1826487.0,,,1万次≈0.030元/次 5万次≈0.020元/次 10万次≈0.015元/次 ,199.0,5.0分,30320,翔云人工智能开放平台
27,27,汉王云名片识别,,智能风控 ,1826487.0,,,8000次≈0.049元/次 2万次≈0.042元/次 10万次≈0.031元/次 ,199.0,5.0分,25383,汉王科技股份有限公司
28,28,OCR身份证识别,,1分钱 智能风控 ,3064672.0,,,5万次≈0.030元/次 10万次≈0.026元/次 20万次≈0.024元/次 ,200.0,5.0分,22371,涪擎数据
29,29,身份证四要素验证,,手机号验证 ,3064672.0,,,1000次≈1.00元/次 5000次≈0.90元/次 ,240.0,5.0分,23439,天眼数聚
30,30,语义情绪识别,,智能客服 ,3398297.0,,,1000次≈0.80元/次 1万次≈0.60元/次 10万次≈0.50元/次 ,500.0,5.0分,24719,北京爱乐宝机器人科技有限公司
31,31,汉王云银行卡识别,,1分钱 智能风控 ,1826487.0,,,6000次≈0.095元/次 1万次≈0.088元/次 5万次≈0.066元/次 ,199.0,5.0分,31007,汉王科技股份有限公司
32,32,手持身份证人脸比对,,智能风控 智能识别 ,3064672.0,,,1万次≈0.050元/次 10万次≈0.030元/次 100万次≈0.024元/次 ,200.0,5.0分,30849,天眼数聚
33,33,汉王云驾驶证识别,,智能风控 ,1826487.0,,,1万次≈0.064元/次 5万次≈0.060元/次 10万次≈0.041元/次 ,199.0,5.0分,25550,汉王科技股份有限公司
34,34,汉王云行驶证识别,,智能风控 ,1826487.0,,,6000次≈0.086元/次 2万次≈0.070元/次 10万次≈0.051元/次 ,199.0,5.0分,31017,汉王科技股份有限公司
35,35,车牌OCR识别高清版,,车辆信息 智能识别 ,3064672.0,,,5万次≈0.022元/次 20万次≈0.020元/次 ,250.0,5.0分,28766,天眼数聚
36,37,汉王云手写公式,,智能识别 ,1826487.0,,,8000次≈0.040元/次 8万次≈0.025元/次 24万次≈0.018元/次 ,199.0,5.0分,25616,汉王科技股份有限公司
37,38,人脸比对高清版,,智能识别 ,15784147.0,,,5万次≈0.030元/次 10万次≈0.025元/次 ,350.0,5.0分,21812,天眼数聚
38,39,行驶证识别,,智能风控 ,3398297.0,,,5万次≈0.042元/次 10万次≈0.035元/次 ,529.0,5.0分,30985,极速数据
39,40,汉王云手写行叠写,,1分钱 智能识别 ,1826487.0,,,5万次≈0.015元/次 8万次≈0.013元/次 30万次≈0.009元/次 ,199.0,5.0分,22514,汉王科技股份有限公司
40,41,活体检测,,智能识别 ,1292277.0,,,1万次≈0.090元/次 5万次≈0.080元/次 ,100.0,5.0分,21812,天眼数聚
41,42,活体检测实人认证标准版,,智能风控 智能识别 ,1292277.0,,,1000次≈0.36元/次 5000次≈0.33元/次 2万次≈0.30元/次 ,80.0,5.0分,27446,天眼数聚
42,43,OCR营业执照识别,,智能风控 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,5.0分,28597,同力亿诚
43,44,OCR银行卡识别,,智能风控 智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,5.0分,28794,同力亿诚
44,45,在线翻译,,智能客服 ,3064672.0,,,10万次≈0.005元/次 ,240.0,5.0分,26497,极速数据
45,47,身份证识别,,智能风控 ,3064672.0,,,5万次≈0.024元/次 10万次≈0.021元/次 ,345.0,5.0分,26270,极速数据
46,48,OCR网络图片文字识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,30857,涪擎数据
47,51,VIN码识别,,智能识别 ,5075889.0,,,1万次≈0.30元/次 5万次≈0.20元/次 10万次≈0.20元/次 ,1500.0,4.0分,26919,翔云人工智能开放平台
48,52,通用文字识别,,智能识别 ,3064672.0,,,10万次≈0.005元/次 100万次≈0.005元/次 ,300.0,4.0分,29885,极速数据
49,53,OCR二维码条形码识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,24275,同力亿诚
50,58,OCR通用文字识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,30110,涪擎数据
51,59,银行卡识别,,智能风控 ,3064672.0,,,5万次≈0.024元/次 10万次≈0.021元/次 ,345.0,4.0分,21678,极速数据
52,60,驾驶证识别,,智能风控 ,3398297.0,,,5万次≈0.042元/次 10万次≈0.035元/次 ,529.0,4.0分,25277,极速数据
53,61,人脸比对,,智能识别 ,1292277.0,,,1万次≈0.068元/次 2万次≈0.065元/次 10万次≈0.048元/次 ,95.0,4.0分,28366,极速数据
54,62,OCR身份证识别,,身份核验 智能识别 ,1826487.0,,,2万次≈0.030元/次 5万次≈0.024元/次 10万次≈0.022元/次 ,199.0,4.0分,22358,apihome
55,65,OCR行驶证识别,,1分钱 智能风控 ,3064672.0,,,5万次≈0.048元/次 10万次≈0.045元/次 20万次≈0.045元/次 ,200.0,4.0分,22845,涪擎数据
56,67,图片识别LOGO商标识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,28678,同力亿诚
57,68,多样化自定义二维码生成与识别,,智能营销 ,1529314.0,,,40万次≈7.50元/万次 ,180.0,4.0分,31103,维酷云数据
58,69,图片识别车型识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,22771,同力亿诚
59,70,淘宝店铺前台展示类目,,电子商务 商品信息 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,24976,同力亿诚
60,76,图像分析与识别,,智能识别 ,1292277.0,,,32250次≈0.004元/次 8万次≈0.005元/次 ,50.0,4.0分,30336,昆明秀派科技有限公司
61,77,OCR网络图片文字识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,23236,同力亿诚
62,78,OCR身份证识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,22061,同力亿诚
63,79,OCR营业执照识别,,智能风控 ,3064672.0,,,1万次≈0.046元/次 5万次≈0.045元/次 ,235.0,4.0分,29229,涪擎数据
64,80,OCR通用文字识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,26939,同力亿诚
65,81,发票识别,,智能风控 ,1282103.0,,,5000次≈0.080元/次 1万次≈0.070元/次 5万次≈0.060元/次 10万次≈0.050元/次 ,1.0,4.0分,27742,翔云人工智能开放平台
66,82,身份证正反面自动识别,,智能识别 ,1826487.0,,,15000次≈0.043元/次 85000次≈0.035元/次 ,199.0,4.0分,27025,涪擎数据
67,83,OCR护照识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,25428,同力亿诚
68,84,OCR增值税发票识别,,智能风控 智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,24234,同力亿诚
69,89,小说识别OCR,,智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 ,200.0,4.0分,20818,涪擎数据
70,90,OCR汽车车型识别,,智能识别 ,3064672.0,,,5万次≈0.028元/次 20万次≈0.020元/次 ,308.0,4.0分,30177,涪擎数据
71,91,OCR银行卡识别,,1分钱 智能风控 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,24886,涪擎数据
72,92,OCR驾驶证识别,,智能风控 ,3064672.0,,,5万次≈0.048元/次 10万次≈0.046元/次 20万次≈0.045元/次 ,200.0,4.0分,26076,涪擎数据
73,93,车牌识别,,智能识别 ,3064672.0,,,5万次≈0.024元/次 10万次≈0.021元/次 ,345.0,4.0分,23037,极速数据
74,94,OCR动物识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,27555,涪擎数据
75,95,OCR植物花卉识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,26248,涪擎数据
76,96,OCR车牌识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,25961,涪擎数据
77,97,OCR电子书文字识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,21774,涪擎数据
78,98,小信子中文理解API3,,智能客服 ,1826487.0,,,10万次≈0.004元/次 ,199.0,4.0分,21811,文化传信厦门软件科技有限公司
79,99,证件照合规性检测证件照制作API,,智能风控 ,5075889.0,,,5500次≈0.91元/次 5万次≈0.80元/次 10万次≈0.60元/次 ,2000.0,4.0分,31576,无锡乐骐科技有限公司
80,101,中文对英文翻译平行语料10万条,文本,智能客服 ,21600665.6,.txt,2018.01-2018.01,单个数据 ,2000.0,5.0分,28136,北京米悦网络科技有限公司
81,102,手机号码归属表,文本,,2936012.8,xlsx,2018.02-2018.02,单个数据 ,39.9,5.0分,22228,广州探迹科技有限公司
82,103,中文对俄语翻译平行语料10万条,文本,智能客服 ,14889779.2,.csv,2018.01-2018.01,单个数据 ,3000.0,5.0分,23851,北京米悦网络科技有限公司
83,104,金融类10轮对话语料_2500轮_第6批,文本,智能客服 ,302080.0,.xlsx,2018.05-2018.05,单个数据 ,5000.0,5.0分,22332,盐城大丰新锐数据服务有限公司
84,105,蝴蝶结上衣商品图片,图片,智能识别 ,12268339.2,jpg,2017.12-2018.01,单个数据 ,150.0,5.0分,21044,盐城大丰新锐数据服务有限公司
85,106,中袖上衣商品图片,图片,智能识别 ,12792627.2,jpg,2017.10-2017.12,单个数据 ,150.0,5.0分,20451,盐城大丰新锐数据服务有限公司
86,107,中文对印度尼西亚翻译平行语料10万条,文本,智能客服 ,7759462.4,.csv,2018.01-2018.01,单个数据 ,4000.0,5.0分,21670,北京米悦网络科技有限公司
87,108,中文对德语翻译平行语料10万条,文本,智能客服 ,5662310.4,.txt,2018.01-2018.01,单个数据 ,4000.0,5.0分,30724,北京米悦网络科技有限公司
88,109,中文对西拔牙翻译平行语料10万条,文本,智能客服 ,12268339.2,.txt,2018.01-2018.01,单个数据 ,4000.0,5.0分,24579,北京米悦网络科技有限公司
89,110,中文对法语翻译平行语料10万条,文本,智能客服 ,13736345.6,.txt,2018.01-2018.01,单个数据 ,4000.0,5.0分,26539,北京米悦网络科技有限公司
90,111,国内县以上行政区划代码（2017年）,文本,,69632.0,xlsx,2018.02-2018.02,单个数据 ,1.99,5.0分,23685,广州探迹科技有限公司
91,112,金融对话语料10轮_2500轮,文本,智能客服 ,231424.0,.xlsx,2019.01-2019.01,单个数据 ,5000.0,5.0分,25896,北京云腾智达信息技术有限公司
92,113,人工智能行业动态周报11.27-12.3,文本,智能投顾 ,623616.0,pdf,2017.11-2017.12,单个报告 ,1.0,5.0分,21577,中科点击（北京）科技有限公司
93,114,金融对话语料10轮-2500轮,文本,智能客服 ,303104.0,xlsx,2019.12-2019.12,单个数据 ,5000.0,5.0分,24192,北京云腾智达信息技术有限公司
94,115,金融聊天语料10轮-1360轮,文本,智能客服 ,188416.0,xlsx,2019.12-2019.12,单个数据 ,2720.0,5.0分,21539,北京云腾智达信息技术有限公司
95,116,金融对话语料豪华版-6360轮,文本,智能客服 ,595968.0,xlsx,2019.12-2019.12,单个数据 ,12720.0,5.0分,20740,北京云腾智达信息技术有限公司
96,117,金融对话语料体验版十轮-1000轮,文本,智能客服 ,105472.0,xlsx,2019.12-2019.12,单个数据 ,2000.0,5.0分,23373,北京云腾智达信息技术有限公司
97,118,金融对话语料10轮—2050轮,文本,智能客服 ,218112.0,.xlsx,2019.11-2019.11,单个数据 ,4100.0,5.0分,21066,北京云腾智达信息技术有限公司
98,119,金融对话语料10轮_2000轮,文本,智能客服 ,233472.0,.xlsx,2019.12-2019.12,单个数据 ,4000.0,5.0分,25215,北京云腾智达信息技术有限公司
99,120,金融对话语料10轮—2500轮,文本,智能客服 ,236544.0,.xlsx,2019.12-2019.12,单个数据 ,5000.0,5.0分,26174,北京云腾智达信息技术有限公司
100,121,新疆维吾尔族自治区地市级行政区划界线,文本,,777216.0,shape,2017.12-2017.12,单个数据 ,220.0,5.0分,24521,北京大地图科技有限公司
101,122,词法分析,,智能客服 ,3064672.0,,,10万次≈0.003元/次 ,299.0,4.0分,23093,自然语言数据集
102,123,判断是否机器翻译,,智能客服 ,3064672.0,,,20万次≈0.002元/次 50万次≈0.001元/次 ,299.0,4.0分,29757,自然语言数据集
103,124,词义相似度,,智能客服 ,1826487.0,,,10万次≈0.002元/次 ,199.0,4.0分,20868,自然语言数据集
104,125,图片识别通用物体和场景识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,24173,同力亿诚
105,127,OCR名片识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,22075,同力亿诚
106,128,OCR港澳通行证识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,28435,同力亿诚
107,129,OCR台湾通行证识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,27750,同力亿诚
108,130,OCR出生医学证明识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,28068,同力亿诚
109,131,OCR驾驶证识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,24676,同力亿诚
110,132,OCR车牌识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,29149,同力亿诚
111,133,OCR定额发票识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,28875,同力亿诚
112,134,OCR通用机打发票识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,24438,同力亿诚
113,135,OCR通用票据识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,23798,同力亿诚
114,136,OCR火车票识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,22363,同力亿诚
115,137,OCR出租车票识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,22208,同力亿诚
116,138,OCR行程单识别,,,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,28931,同力亿诚
117,139,OCR保险单识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,27240,同力亿诚
118,140,OCR手写文字识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,21519,同力亿诚
119,141,OCR数字识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,25533,同力亿诚
120,142,图片识别货币识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,20944,同力亿诚
121,143,图片识别植物识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,24167,同力亿诚
122,144,图片识别果蔬识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,26395,同力亿诚
123,145,图片识别菜品识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,23517,同力亿诚
124,146,语言处理AI文本审核接口,,智能风控 智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,27668,同力亿诚
125,147,语言处理AI图片审核接口,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,30062,同力亿诚
126,148,身份证OCR识别,,智能识别 ,1292277.0,,,1000次≈0.12元/次 ,120.0,4.0分,30385,羽山数据
127,149,行驶证OCR识别,,智能识别 ,1292277.0,,,1000次≈0.12元/次 ,120.0,4.0分,23640,羽山数据
128,150,驾驶证OCR识别,,智能识别 ,1292277.0,,,1000次≈0.12元/次 ,120.0,4.0分,25275,羽山数据
129,151,快递收货地址模糊识别,,,3064672.0,,,季 半年 年 ,300.0,4.0分,23289,趣讯科技
130,152,语言处理AI词法分析接口,,智能风控 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,23059,同力亿诚
131,153,语言处理AI文本纠错接口,,智能风控 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,30486,同力亿诚
132,158,银行卡OCR识别,,智能识别 ,3064672.0,,,5万次≈0.018元/次 10万次≈0.015元/次 50万次≈0.014元/次 ,200.0,4.0分,22925,成都金普惠科技有限公司
133,175,驾驶证OCR识别,,智能识别 ,1826487.0,,,1万次≈0.080元/次 2万次≈0.070元/次 10万次≈0.060元/次 ,199.0,4.0分,24665,贵州诚数科技有限公司
134,176,行驶证OCR识别,,智能识别 ,1826487.0,,,1万次≈0.080元/次 2万次≈0.070元/次 10万次≈0.060元/次 ,199.0,4.0分,27217,贵州诚数科技有限公司
135,177,银行卡OCR识别,,智能识别 ,1826487.0,,,1万次≈0.080元/次 2万次≈0.070元/次 10万次≈0.060元/次 ,199.0,4.0分,27687,贵州诚数科技有限公司
136,178,营业执照OCR识别,,智能识别 ,1826487.0,,,1万次≈0.15元/次 5万次≈0.12元/次 10万次≈0.10元/次 ,199.0,4.0分,25701,贵州诚数科技有限公司
137,179,明星名人识别OCR,,智能识别 ,3064672.0,,,1万次≈0.046元/次 5万次≈0.045元/次 ,235.0,4.0分,28492,涪擎数据
138,180,中文智能分词,,智能客服 ,1292277.0,,,10万次≈9.50元/万次 25万次≈9.00元/万次 ,50.0,4.0分,31208,杭州云桔科技有限公司
139,181,拼音转换,,智能识别 ,1292277.0,,,50万次≈4.00元/万次 ,50.0,4.0分,28960,杭州云桔科技有限公司
140,182,文本摘要提取,,智能客服 ,1292277.0,,,10万次≈0.003元/次 50万次≈9.00元/万次 ,50.0,4.0分,30730,杭州云桔科技有限公司
141,183,简繁文字转换,,智能客服 智能识别 ,1292277.0,,,10万次≈5.00元/万次 ,50.0,4.0分,30706,杭州云桔科技有限公司
142,184,自然语言处理,,智能识别 ,1292277.0,,,247500次≈8.00元/万次 831667次≈6.00元/万次 ,99.0,4.0分,21350,昆明秀派科技有限公司
143,185,图片鉴黄与鉴暴恐,,智能识别 ,1292277.0,,,10万次≈0.003元/次 ,99.0,4.0分,24150,昆明秀派科技有限公司
144,186,图片标签,,智能识别 ,1292277.0,,,99500次≈0.002元/次 466000次≈0.002元/次 109万次≈0.001元/次 ,99.0,4.0分,20374,昆明秀派科技有限公司
145,187,OCR增值税发票识别,,智能识别 ,3398297.0,,,1万次≈0.080元/次 2万次≈0.070元/次 5万次≈0.060元/次 ,360.0,4.0分,23811,昆明秀派科技有限公司
146,188,OCR营业执照识别,,智能识别 ,1292277.0,,,4000次≈0.045元/次 2万次≈0.038元/次 ,50.0,4.0分,26150,昆明秀派科技有限公司
147,189,长尾词搜索,,电子商务 舆情监测 ,1292277.0,,,1400次≈0.36元/次 15000次≈0.33元/次 ,50.0,4.0分,22090,昆明秀派科技有限公司
148,190,身份证识别OCR,,智能支付 ,1826487.0,,,5万次≈0.026元/次 10万次≈0.024元/次 20万次≈0.022元/次 ,199.0,4.0分,29929,厦门市银行家园网络科技有限公司
149,191,文档识别,,智能识别 ,1826487.0,,,1万次≈0.030元/次 5万次≈0.020元/次 10万次≈0.015元/次 ,199.0,4.0分,28476,翔云人工智能开放平台
150,192,营业执照识别,,智能风控 ,3398297.0,,,1万次≈0.070元/次 5万次≈0.060元/次 10万次≈0.050元/次 ,399.0,4.0分,29717,翔云人工智能开放平台
151,193,短文本相似度,,智能营销 ,1826487.0,,,10万次≈0.002元/次 ,199.0,4.0分,21490,自然语言数据集
152,194,名片识别,,智能风控 ,3064672.0,,,2万次≈0.035元/次 5万次≈0.030元/次 10万次≈0.025元/次 ,345.0,4.0分,22265,极速数据
153,195,银行卡OCR识别,,智能识别 ,3398297.0,,,10万次≈0.080元/次 100万次≈0.072元/次 ,900.0,4.0分,28977,羽山数据
154,196,OCR发票识别,,智能识别 ,1292277.0,,,1000次≈0.45元/次 1万次≈0.40元/次 ,50.0,4.0分,21851,上海长江时代众创空间数字技术有限公司
155,197,OCR台湾摩托车车牌识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.026元/次 20万次≈0.023元/次 ,200.0,4.0分,23478,涪擎数据
156,198,蜜罐数据,,反欺诈 风控 借贷 ,15784147.0,,,1000次≈3.00元/次 2000次≈2.80元/次 3000次≈2.50元/次 ,350.0,5.0分,33304,上海诚数信息科技有限公司
157,199,身份证二要素实名认证,,身份核验 ,3064672.0,,,5万次≈0.040元/次 171428次≈0.035元/次 333333次≈0.030元/次 ,200.0,5.0分,42258,量子数据
158,200,短信接口,,短信API 1分钱 ,1826487.0,,,15676次≈0.037元/次 27950次≈0.036元/次 129118次≈0.034元/次 ,199.0,5.0分,42976,成都创信信息技术有限公司
159,201,106短信接口,,短信API ,1826487.0,,,5万次≈0.035元/次 10万次≈0.033元/次 20万次≈0.031元/次 ,199.0,5.0分,40819,弹指云信
160,202,身份证实名认证,,身份核验 1分钱 ,3064672.0,,,1万次≈0.060元/次 5万次≈0.055元/次 10万次≈0.050元/次 ,200.0,5.0分,45028,联卓数据
161,203,北京企业相似推荐查询,,企业综合 ,3398297.0,,,1000次≈0.50元/次 ,500.0,5.0分,28759,北京云网极速科技有限公司
162,204,快递查询,,快递查询 ,1826487.0,,,50万次≈0.004元/次 100万次≈0.004元/次 1000万次≈0.003元/次 ,199.0,5.0分,30821,昆明秀派科技有限公司
163,205,北京企业备案信息查询,,资质备案 ,3064672.0,,,1000次≈0.30元/次 ,300.0,5.0分,22516,北京云网极速科技有限公司
